ingredient,skin_type,effect,confidence,strength_hint
ashwagandha,"wrinkle,sensitive",good,low,
beautyberry,,,,
blend of azelaic,,,,
avocado,dry,good,low,
complex of balloon vine,,,,
complex of cardiospermum,,,,
coq10,,,,
epimedium,,,,
glow plus complex (acerola seed,,,,
grapeseed,,,,
ha spheres,,,,
kombu-bounce complex (green,,,,
ligustrum lucidum seed,,,,
mango,,,,
matrixyl,,,,
meadowfoam,,,,
micro-exfoliating minerals (quartz,,,,
omega-3,,,,
omegas 3,,,,
organic agropyron,,,,
papaya,"oily,pigmentation",good,low,
pha,"oily,pigmentation",good,medium,
pre-,,,,
rhodiola,,,,
rosewood,,,,
shatavari,"dry,sensitive",good,low,
shilajit,,,,
sunflower,dry,good,low,
sunflower seed cake,,,,
thin layers of silk (fibroin,,,,
vitamins a,,,,
vitamins b,,,,
vitamins b3,,,,
volcanic,,,,
wild juneberry (from jackson hole,,,,
"1,10-decanediol",,neutral,low,
"1,2 hexanedio",,,,
"1,2-heanediol",,,,
"1,2-hexandiol",,neutral,low,
"1,2-hexanediol",,neutral,low,
"1,2-hexanidiol",,,,
1- -3-hexanol,,,,
bifidus prebiotic,,neutral,low,
100 percent natural dha,,neutral,low,
brazilian rose quartz,,,,
natural abaca leaf fiber,,,,
naturalizer pearlizers,,,,
vegan and natural tanning active,,,,
15 alkane-c13,,,,
15 super-greens complex,,,,
healthy fats,,,,
18 nutrients,,,,
2 g fruiting body tremella fuciformis 1,,,,
ultra filling spheres,,,,
emollients and almond milk,,,,
24k gold,,,,
24k gold and colloidal gold,,,,
txa,,,,
3) -maca,,,,
"3,7-dimethyl-1-octanol",,,,
3-methyl-4- -3-butene-2-one,,,,
4 isostearate,,,,
4-butylresorcinol,,,,
4-ethylresorcinol,,,,
4-terpineol,,neutral,low,
4-terpineol),,neutral,low,
4msk,,,,
5 chelated essential minerals,,,,
gransil blur,,,,
inactive,,,,
vitaglow-d,,,,
500 and 50 kda),,,,
skin barrier complex,,,,
6-naphthalate,,,,
6324f21a-9a5a-4f15-8a0a-5d08edd640f1,,,,
pore-shrinking complex,,,,
7) synergen skin complex,,,,
"7-methyl-2h-benzo-1,5-dioxepin-3 -one",,,,
9 jelly cleanser,,,,
pure fair trade aloe leaf juice,,,,
a 70 propellant,,,,
a plant-derived emollient,,,,
a-pinene,,,,
a70 propellant,,,,
abaca leaf,,,,
