ingredient,source,skin_type,notes,confidence,effect
aqua water eau,manual,normal,solvent/base,high,neutral
2-hexanediol,manual,,,low,neutral
acrylates c10-30 alkyl acrylate crosspolymer,manual,normal,formulation,low,neutral
parfum fragrance,manual,sensitive,fragrance; may irritate,high,avoid
hydroxyethyl acrylate sodium acryloyldimethyl taurate copolymer,manual,normal,formulation,low,neutral
leuconostoc radish root ferment filtrate,manual,"pigmentation,wrinkle",ferment/probiotic,medium,good
ammonium acryloyldimethyltaurate vp copolymer,manual,normal,formulation,low,neutral
citral methyl anthranilate schiff base,manual,,,low,neutral
dimethicone vinyl dimethicone crosspolymer,manual,normal,formulation,low,neutral
alcohol denat,manual,"oily,sensitive",denat alcohol; can dry or irritate,high,avoid
pelargonium graveolens flower oil,manual,dry,emollient,low,good
sigesbeckia orientalis extract,manual,normal,botanical extract,low,good
citrus aurantium bergamia fruit oil,manual,dry,emollient,medium,good
citrus aurantium dulcis peel oil,manual,dry,emollient,low,good
yeast extract faex extrait de levure,manual,wrinkle,yeast,medium,good
parfum,manual,sensitive,fragrance; may irritate,high,avoid
dimethicone polyglycerin-3 crosspolymer,manual,"dry,normal",humectant,high,good
dimethicone peg-10 15 crosspolymer,manual,normal,formulation,low,neutral
hordeum vulgare extract extrait d'orge,manual,,,low,neutral
peg ppg-18 18 dimethicone,manual,normal,formulation,low,neutral
alpha-isomethyl ionone,manual,dry,humectant,high,good
capryloyl glycerin sebacic acid copolymer,manual,"dry,normal",humectant,high,good
citrus limon peel oil,manual,dry,emollient,low,good
vinyl dimethicone methicone silsesquioxane crosspolymer,manual,normal,formulation,low,neutral
polymethyl methacrylate,manual,normal,formulation,low,neutral
citrus grandis peel oil,manual,dry,emollient,low,good
citrus aurantium dulcis fruit extract,manual,"pigmentation,wrinkle",vitamin/antioxidant,low,good
red 4,manual,,,low,neutral
iron oxides (ci 77491,manual,normal,color,high,neutral
yeast amino acids,manual,,,low,neutral
aroma flavor,manual,sensitive,fragrance; may irritate,high,avoid
phytosteryl octyldodecyl lauroyl glutamate,manual,,,low,neutral
ci 77499),,,,low,neutral
sodium acrylate acryloyldimethyl taurate copolymer,manual,normal,formulation,low,neutral
rosmarinus officinalis leaf oil,manual,dry,emollient,low,good
saccharum officinarum extract,manual,normal,botanical extract,low,good
methyl methacrylate crosspolymer,manual,normal,formulation,low,neutral
propylene glycol dicaprate,manual,,,low,neutral
butylene ethylene copolymer,manual,normal,formulation,low,neutral
cetyl peg ppg-10 1 dimethicone,manual,normal,formulation,low,neutral
whey protein lactis protein proteine du petit-lait,manual,,,low,neutral
saccharomyces lysate extract,manual,"pigmentation,wrinkle",ferment/probiotic,medium,good
citrus limon fruit extract,manual,"pigmentation,wrinkle",vitamin/antioxidant,low,good
coco-caprylate caprate,manual,,,low,neutral
carthamus tinctorius seed oil,manual,dry,emollient,medium,good
lactobacillus portulaca oleracea ferment extract,manual,"pigmentation,wrinkle",ferment/probiotic,medium,good
ocimum sanctum leaf extract,manual,"dry,wrinkle",botanical extract,low,good
anthemis nobilis flower oil,manual,"dry,sensitive","soothing, anti-inflammatory",high,good
epilobium angustifolium flower leaf stem extract,manual,normal,botanical extract,low,good
hamamelis virginiana water,manual,"oily,sensitive","astringent, soothing",high,good
vitis vinifera fruit extract,manual,"pigmentation,wrinkle",vitamin/antioxidant,low,good
peg-200 hydrogenated castor oil ipdi copolymer,manual,normal,formulation,low,neutral
saccharomyces rice bran ferment filtrate extract,manual,"pigmentation,wrinkle",ferment/probiotic,medium,good
hdi trimethylol hexyllactone crosspolymer,manual,normal,formulation,low,neutral
camellia japonica seed oil aminopropanediol amides esters,manual,dry,emollient,medium,good
citrus paradisi,manual,,,low,neutral
citrus aurantium dulcis oil,manual,dry,emollient,low,good
styrene acrylates copolymer,manual,normal,formulation,low,neutral
no info,,,,low,neutral
paeonia suffruticosa root extract,manual,"sensitive,wrinkle",botanical,low,good
x c reticulata peel oil expressed,manual,dry,emollient,low,good
citrus aurantifolia peel extract,manual,normal,botanical extract,low,good
polyglyceryl-4 caprylate caprate,manual,,,low,neutral
methyl methacrylate trimethoxysilylpropyl methacrylate crosspolymer,manual,normal,formulation,low,neutral
simmondsia chinensis seed extract,manual,"dry,oily",balancing oil,high,good
saccharomyces cerevisiae extract,manual,"pigmentation,wrinkle",ferment/probiotic,medium,good
sodium acrylate sodium acryloyldimethyl taurate copolymer,manual,normal,formulation,low,neutral
yellow 6,manual,,,low,neutral
hydroxyproline,manual,,,low,neutral
hydrolyzed algin,manual,,,low,neutral
caprylic capric myristic stearic triglyceride,manual,,,low,neutral
vp eicosene copolymer,manual,normal,formulation,low,neutral
camellia oleifera seed oil hydrogenated camellia oleifera seed oil esters,manual,dry,emollient,medium,good
declustered water aqua eau de-structuree,manual,normal,solvent/base,high,neutral
gigartina stellata kappaphycus alvarezii extract,manual,normal,botanical extract,low,good
hydrogenated dimer dilinoleyl peg-41 poly -18 dimethyl ether,manual,normal,formulation,low,neutral
